image_name,image_path,released_year,viewpoint,bbox,make,model,type
826a5fd082682c,dataset/image/135/947/unknown/826a5fd082682c.jpg,unknown,rear,"[96.0, 53.0, 817.0, 596.0]",Saab,SAAB 9X,Unknown
a57f0da7a9f4b3,dataset/image/135/947/unknown/a57f0da7a9f4b3.jpg,unknown,front,"[140.0, 126.0, 752.0, 512.0]",Saab,SAAB 9X,Unknown
260296d45c25e1,dataset/image/135/947/unknown/260296d45c25e1.jpg,unknown,front,"[203.0, 310.0, 697.0, 611.0]",Saab,SAAB 9X,Unknown
cd783c12dcc12b,dataset/image/135/945/2012/cd783c12dcc12b.jpg,2012,rear,"[119.0, 55.0, 696.0, 499.0]",Saab,SAAB 95,Unknown
9c147ebb629d84,dataset/image/135/945/2010/9c147ebb629d84.jpg,2010,front,"[226.0, 139.0, 740.0, 511.0]",Saab,SAAB 95,Unknown
8b546357cf81cc,dataset/image/135/945/2010/8b546357cf81cc.jpg,2010,rear,"[119.0, 116.0, 671.0, 524.0]",Saab,SAAB 95,Unknown
968d197d9bc27f,dataset/image/135/945/2010/968d197d9bc27f.jpg,2010,front,"[202.0, 95.0, 709.0, 443.0]",Saab,SAAB 95,Unknown
e372c6121eb8b5,dataset/image/135/945/2010/e372c6121eb8b5.jpg,2010,front,"[138.0, 84.0, 673.0, 444.0]",Saab,SAAB 95,Unknown
29dba8b04ef96a,dataset/image/135/945/2010/29dba8b04ef96a.jpg,2010,front,"[81.0, 85.0, 829.0, 615.0]",Saab,SAAB 95,Unknown
5454f38bcb9cf8,dataset/image/135/945/2010/5454f38bcb9cf8.jpg,2010,rear,"[189.0, 147.0, 664.0, 486.0]",Saab,SAAB 95,Unknown
b0e3ec530f764e,dataset/image/135/945/2010/b0e3ec530f764e.jpg,2010,front,"[137.0, 51.0, 654.0, 465.0]",Saab,SAAB 95,Unknown
843b7e3ceef9f7,dataset/image/135/945/2010/843b7e3ceef9f7.jpg,2010,front,"[200.0, 113.0, 637.0, 424.0]",Saab,SAAB 95,Unknown
2dcafe3c9c7bf7,dataset/image/135/945/2010/2dcafe3c9c7bf7.jpg,2010,front,"[158.0, 125.0, 624.0, 482.0]",Saab,SAAB 95,Unknown
f1b372d2ebd64f,dataset/image/135/945/2010/f1b372d2ebd64f.jpg,2010,rear,"[121.0, 102.0, 705.0, 532.0]",Saab,SAAB 95,Unknown
e07a3ef6392522,dataset/image/61/348/2014/e07a3ef6392522.jpg,2014,front,"[278.0, 48.0, 731.0, 473.0]",Beiqihuansu,Huansu S2,SUV
1d23ac6eb9c12a,dataset/image/61/348/2014/1d23ac6eb9c12a.jpg,2014,front,"[205.0, 135.0, 646.0, 526.0]",Beiqihuansu,Huansu S2,SUV
ca040903ac7053,dataset/image/61/348/2014/ca040903ac7053.jpg,2014,rear,"[208.0, 116.0, 693.0, 603.0]",Beiqihuansu,Huansu S2,SUV
399edd72a021dc,dataset/image/61/348/2014/399edd72a021dc.jpg,2014,rear,"[223.0, 113.0, 593.0, 476.0]",Beiqihuansu,Huansu S2,SUV
6db854a5a749fe,dataset/image/61/348/2014/6db854a5a749fe.jpg,2014,front,"[206.0, 143.0, 583.0, 484.0]",Beiqihuansu,Huansu S2,SUV
f89f2b130b71da,dataset/image/61/348/2014/f89f2b130b71da.jpg,2014,front,"[209.0, 107.0, 813.0, 645.0]",Beiqihuansu,Huansu S2,SUV
3f768c80aab284,dataset/image/61/348/2014/3f768c80aab284.jpg,2014,rear,"[220.0, 156.0, 480.0, 410.0]",Beiqihuansu,Huansu S2,SUV
af15e0fe3847c7,dataset/image/61/348/2014/af15e0fe3847c7.jpg,2014,rear,"[161.0, 51.0, 624.0, 484.0]",Beiqihuansu,Huansu S2,SUV
1478f3e50b931e,dataset/image/61/348/2014/1478f3e50b931e.jpg,2014,front,"[275.0, 40.0, 539.0, 274.0]",Beiqihuansu,Huansu S2,SUV
bf904b676ad940,dataset/image/61/348/2014/bf904b676ad940.jpg,2014,front,"[196.0, 130.0, 716.0, 592.0]",Beiqihuansu,Huansu S2,SUV
0d14e006bef48e,dataset/image/61/348/2014/0d14e006bef48e.jpg,2014,rear,"[196.0, 129.0, 578.0, 499.0]",Beiqihuansu,Huansu S2,SUV
